Gauge ID,2021-08-13T15:13:13.884010871Z,2021-07-22T23:33:05.366615022Z,2021-07-07T19:30:34.235941954Z,2021-07-02T21:41:57.774629346Z,2021-06-23T16:52:08.442108324Z,2021-06-19T00:00:00.000000000Z
0, 10000, 10000, 10000, 5740, 500, 0
1, 233807, 198548, 182720, 20000, 20000, 0
2, 43839, 37228, 34260, 3750, 3750, 0
3, 14613, 12409, 11420, 1250, 1250, 0
4, 19942, 16935, 16000, 1840, 1600, 0
5, 3739, 3175, 3000, 345, 300, 0
6, 1246, 1058, 1000, 115, 100, 0
7, 95374, 93239, 91360, 10000, 10000, 0
8, 17883, 17482, 17130, 1875, 1875, 0
9, 5961, 5827, 5710, 625, 625, 0
10, 72561, 83367, 91360, 10000, 10000, 0
11, 13605, 15631, 17130, 1875, 1875, 0
12, 4535, 5210, 5710, 625, 625, 0
13, 55054, 55412, 54880, 6000, 6000, 0
14, 10323, 10390, 10290, 1125, 1125, 0
15, 3441, 3463, 3430, 375, 375, 0
16, 43588, 50079, 54880, 6000, 6000, 0
17, 8173, 9390, 10290, 1125, 1125, 0
18, 2724, 3130, 3430, 375, 375, 0
19, 17390, 16321, 14640, 1600, 1600, 0
20, 3261, 3060, 2745, 300, 300, 0
21, 1087, 1020, 915, 100, 100, 0
22, 12223, 14043, 14640, 1600, 1600, 0
23, 2292, 2633, 2745, 300, 300, 0
24, 764, 878, 915, 100, 100, 0
25, 19219, 16321, 14640, 1600, 1600, 0
26, 3604, 3060, 2745, 300, 300, 0
27, 1201, 1020, 915, 100, 100, 0
28, 12295, 14126, 14640, 1600, 1600, 0
29, 2305, 2649, 2745, 300, 300, 0
30, 768, 883, 915, 100, 100, 0
37, 62955, 72330, 73120, 8000, 8000, 0
38, 11804, 13562, 13710, 1500, 1500, 0
39, 3935, 4521, 4570, 500, 500, 0
43, 66967, 72652, 73120, 8000, 8000, 0
44, 12556, 13622, 13710, 1500, 1500, 0
45, 4185, 4541, 4570, 500, 500, 0
64, 38125, 43801, 48000, 6890, 0, 0
65, 7148, 8213, 9000, 5512, 0, 0
66, 2383, 2738, 3000, 1033, 0, 0
124, 42499, 44825, 48000, 6890, 0, 0
125, 7969, 8405, 9000, 5512, 0, 0
126, 2656, 2802, 3000, 1033, 0, 0